Hospital Name,City,Address,Latitude,Longitude
Quaid-e-Azam International Hospital,Islamabad,"Near Golra Morr, Peshawar Road, H-13, Islamabad",33.680,72.980
Kulsum International Hospital,Islamabad,"Kulsum Plaza, 2020 Jinnah Avenue, Blue Area, Islamabad",33.720,73.080
Maroof International Hospital,Islamabad,"10th Avenue, Markaz F-10, Islamabad",33.690,73.010
Federal Government Services Hospital (Polyclinic),Islamabad,"Service Road, Sector G-6/1, Islamabad",33.720,73.070
Capital Hospital (CDA Hospital),Islamabad,"Near Melody, G-6/3, Islamabad",33.720,73.075
Ali Medical Centre,Islamabad,"Kohistan Road, F-8 Markaz, Islamabad",33.700,73.050
Advanced International Hospital,Islamabad,"12-G, G-8 Markaz, Islamabad",33.700,73.050
MaxHealth Hospital,Islamabad,"12-K Markaz Road, G-8 Markaz, Islamabad",33.700,73.055
KRL Hospital,Islamabad,"Sector G-9/1, Islamabad",33.690,73.040
NORI Hospital,Islamabad,"G-8/3, Islamabad",33.700,73.050
PAF Hospital Islamabad,Islamabad,"Main Margalla Road, E-9, Islamabad",33.730,73.050
Life Care International Hospital,Islamabad,"Main Double Road, G-10 Markaz, Islamabad",33.680,73.020
MedCity International Hospital,Islamabad,"PMC Plaza, F-8 Markaz, Islamabad",33.710,73.050
Islamabad International Hospital,Islamabad,"E-11/2 Main Double Road, Islamabad",33.670,72.990
Dar-ul-Shifa Hospital,Islamabad,"H-8, Islamabad",33.680,73.070
Fauji Foundation Hospital Islamabad,Islamabad,"Near Faizabad, Islamabad",33.650,73.080
Combined Military Hospital (CMH) Rawalpindi,Rawalpindi,"Abdul Rehman Road, Rawalpindi Cantt",33.600,73.050
Holy Family Hospital,Rawalpindi,"Satellite Town, Rawalpindi",33.630,73.070
Benazir Bhutto Hospital,Rawalpindi,"Rawalpindi",33.620,73.060
Rawalpindi Institute of Cardiology,Rawalpindi,"Rawal Road, Chaklala, Rawalpindi",33.610,73.080
Armed Forces Institute of Cardiology,Rawalpindi,"Rawalpindi Cantt",33.590,73.040
Fauji Foundation Hospital Rawalpindi,Rawalpindi,"Rawalpindi",33.580,73.030
Tehsil Headquarters Hospital (THQ) Topi,Topi,"Near GIK Institute, Topi, Swabi, Khyber Pakhtunkhwa",34.070,72.620
Mahaban Medical and Research Hospital,Topi,"Gadoon Industrial Road, Near Karkhano Chowk, Topi, Swabi",34.065,72.625
Arq Un Nisa Hospital,Topi,"Batakara Road, Near Telephone Exchange, Topi",34.070,72.630
Allied Specialist Hospital,Topi,"Topi, Swabi, Khyber Pakhtunkhwa",34.072,72.622
Category C Civil Hospital Topi,Topi,"Awan Street, Topi, Swabi",34.068,72.618
Life Medical Care Hospital,Topi,"Topi, Swabi",34.071,72.624
Royal Medical Complex,Topi,"Topi, Swabi",34.069,72.621
Utman Medical Center,Topi,"Tehsil Road, Right Bank Colony, Topi",34.073,72.623
Khyber Medical Center & Maternity Home,Topi,"Topi, Swabi",34.066,72.619
Rehbar Medical Center,Topi,"Topi, Swabi",34.067,72.626
Dawood Medical Center,Topi,"Haider Colony, Main GIKI Road, Topi",34.074,72.627
Nova Diagnostic Center,Topi,"Main Giki Road, near THQ Hospital, Topi",34.071,72.621
Baqai Hospital,Karachi,"Super Highway, Karachi",24.980,67.100
Koohi Goth Hospital,Karachi,"Gadap Town, Karachi",25.000,67.150
Marie Adelaide Leprosy Centre,Karachi,"M.A. Jinnah Road, Karachi",24.870,67.030
Hamdard University Hospital,Karachi,"Main M.A. Jinnah Road, Karachi",24.870,67.025
Lady Aitchison Hospital,Lahore,"Anarkali, Lahore",31.570,74.310
Lady Willingdon Hospital,Lahore,"Anarkali, Lahore",31.575,74.315
United Christian Hospital,Lahore,"Gulberg, Lahore",31.520,74.350
Shaikh Zayed Hospital,Lahore,"New Muslim Town, Lahore",31.500,74.330
Punjab Institute of Mental Health,Lahore,"Model Town, Lahore",31.480,74.320
